"id","name","logo_url"
"55805","The Gentlemans Inner Toronto Select","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55805/NEWGITS (1).jpg"
"55806","Toronto Buccaneers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55806/image0.jpeg"
"55807","Toronto City Youth","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55807/Toronto City Rugby Logo.png"
"55808","Toronto Dragons","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55808/Toronto Dragons.png"
"59315","Toronto Inner-city Rugby Foundation (TIRF)","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59315/TIRF Logo - Colour.png"
"55810","Toronto Muddy York","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55810/Toronto Muddy York.png"
"55811","Toronto Nomads","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55811/Toronto Nomads.jpg"
"86743","Toronto Rugby Union (TRU)",""
"55812","Toronto Saracens","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55812/Saracens Logo.png"
"55813","Toronto Scottish","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55813/Scottish Logo.jpg"
"61686","Upright Rugby Rogues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61686/Rogues_outlines.png"
"55814","Vaughan Yeomen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55814/logo2.png"
"55815","Waterloo County","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55815/Waterloo.png"
"55817","Windsor Rogues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55817/Windsor Rogues.png"
