"league_id","home_id","away_id","date","time","venue"
"204706","58872","58870","2025-07-05","13:20","Cegep Vanier"
"204706","58862","58860","2025-07-05","13:30","Ecole St-Georges"
"204706","58868","58854","2025-07-05","14:00","Parc Etienne Desmarteau"
"204706","58860","58870","2025-07-12","00:00","École secondaire De Rochebelle"
"204706","58854","58872","2025-07-12","13:30","Beaconsfield HS"
"204706","58862","58868","2025-07-12","15:00","Ecole St-Georges"
"204706","58868","58860","2025-07-26","13:30","Parc Etienne Desmarteau"
"204706","58870","58854","2025-07-26","14:00","Parc Henri-Julien"
"204706","58872","58862","2025-07-26","14:00","Cegep Vanier"
"204706","58872","58868","2025-08-02","13:00","Cegep Vanier"
"204706","58860","58854","2025-08-02","13:30","École secondaire De Rochebelle"
"204706","58870","58862","2025-08-02","15:00","Parc Henri-Julien"
"204704","58862","90651","2025-06-07","13:30","Ecole St-Georges"
"204704","58872","58860","2025-07-05","11:40","Cegep Vanier"
"204704","90651","58862","2025-07-05","12:30","Heritage College"
"204704","58860","90651","2025-07-12","00:00","École secondaire De Rochebelle"
"204704","58862","58872","2025-07-12","13:30","Ecole St-Georges"
"204704","58860","58862","2025-07-26","15:00","École secondaire De Rochebelle"
"204704","58872","90651","2025-07-26","15:40","Cegep Vanier"
