"id","name","logo_url"
"54875","Prince George Youth Rugby Association","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54875/Prince George Youth - Transparent.png"
"54891","Prince Rupert Seamen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54891/Prince Rupert - Transparent.png"
"83031","Rapids Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83031/Rapids - Transparent.png"
"54892","Richmond","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54892/Richmond - Transparent.png"
"54893","Ridge Meadows","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54893/Ridge Meadows - Transparent.png"
"54894","Rocky Mountain Rogues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54894/Rocky Mountain Rogues - Transparent.png"
"91737","SAIT","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91737/sait.png"
"72038","Salish Warriors","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/72038/Salish Sea - Transparent.png"
"84179","Saskatchewan Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84179/11083662_885416368182044_7926422225340325906_n.jpg"
"54895","Scribes","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54895/Scribes_RFC_Logo.jpg"
"54896","Seattle Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54896/Seattle - Transparent.png"
"54897","Simon Fraser RC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54897/SFU - Transparent.png"
"65042","Simon's Fridge","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/65042/IMG-20220426-WA0005.jpg"
"54898","Snowcaps RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54898/Snowcaps - Transparent.png"
"54900","Surrey Beavers AA","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54900/Surrey - Transparent.png"
"83461","Surrey Beavers Youth","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83461/logo_work08.jpg"
"83960","TORA","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83960/TORA  Logo.png"
"54901","Terrace Northmen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54901/Terrace Northman - Transparent.png"
"57516","Thunder Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/57516/Thunder - Transparent.png"
"91960","Toronto Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91960/TO.png"
"92677","Trail Colonials","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/92677/Trail logo.png"
"77872","Trinity Western University","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/77872/TWU Spartans - Transparent.png"
"54903","Twilighters","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54903/Twilighters - Transparent.png"
"54905","UBC RFC (Men's)","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54905/UBC Thunderbirds - Transparent.png"
"88563","UBC Thunderbirds","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/88563/UBC.png"
"54906","UBCO Heat","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54906/UBCO Heat - Transparent.png"
"54907","UBCOB Ravens","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54907/UBCOB Ravens - Transparent.png"
"54908","United","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54908/United - Transparent.png"
"54904","University Of Victoria","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54904/UVic Vikes- Transparent.png"
"60466","University of Alberta Pandas","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60466/Pandas - Transparent.png"
"60464","University of Calgary","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60464/UoC Dinos - Transparent.png"
"60465","University of Lethbridge","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60465/Horns - Transparent.png"
"71996","Vancouver Barbarians","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/71996/Barbarians - Transparent.png"
"82453","Vancouver East","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82453/VanEast-Logo.png"
"90739","Vancouver Highlanders","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90739/Vancouver_Highlanders_12_final-01.png"
"59170","Vancouver Island Junior Tide","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59170/Vancouver Island RU - Transparent.png"
"59168","Vancouver Island Tide","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59168/Vancouver Island RU - Transparent.png"
"54909","Vancouver Rowing Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54909/Vancouver Rowing Club - Transparent.png"
"82025","Vancouver Rugby Union","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82025/Vancouver Rugby - Transparent.png"
"56407","Vancouver Thunderbirds","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/56407/UBC Thunderbirds - Transparent.png"
"54910","Vernon","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54910/Vernon - Transparent.png"
"60053","Washington","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60053/wash rugby.png"
"90687","Western Washingotn","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90687/WW.png"
"54911","Westshore","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54911/Westshore - 300x300.png"
"54912","Williams Lake Rustlers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54912/Williams Lake - Transparent.png"
"69417","Yeti Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/69417/yeti-icon-circle-uprights-trees.png"
"90976","Yukon Rugby Federation","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90976/Yukon Rugby Logo JPEG (002).jpg"
